isbn13,ISBN,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,Rating,Average Ratings Count,url,key,number_of_pages,pagination,by_statement,publishers,publish_places,publish_date,subjects,subject_places,ebooks,identifiers.goodreads,identifiers.librarything,identifiers.isbn_10,identifiers.openlibrary,classifications.lc_classifications,cover.small,cover.medium,cover.large,subtitle,notes,identifiers.lccn,identifiers.oclc,classifications.dewey_decimal_class,subject_people,excerpts,identifiers.isbn_13,subject_times,links,identifiers.google,table_of_contents,identifiers.amazon,identifiers.wikidata,weight,ID,Publication YEAR,Average rating
9780002261982,0002261987,Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000.0,3.83,241.0,5164.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780006380832,0006380832,Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",1998.0,4.41,608.0,65.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780006470229,000647022X,The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994.0,4.15,743.0,103.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780006499626,0006499627,Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.",1997.0,4.2,359.0,6235.0,High Rating,15300.78,https://openlibrary.org/books/OL7259453M/Miss_Marple,/books/OL7259453M,368.0,,,HarperCollins Publishers Ltd,,"July 10, 1997","[{'name': 'Detective and mystery stories', 'url': 'https://openlibrary.org/subjects/detective_and_mystery_stories'}, {'name': 'Open Library Staff Picks', 'url': 'https://openlibrary.org/subjects/open_library_staff_picks'}, {'name': 'English Detective and mystery stories', 'url': 'https://openlibrary.org/subjects/english_detective_and_mystery_stories'}, {'name': 'Fiction', 'url': 'https://openlibrary.org/subjects/fiction'}, {'name': 'Women detectives', 'url': 'https://openlibrary.org/subjects/women_detectives'}, {'name': 'Jane Marple (Fictitious character)', 'url': 'https://openlibrary.org/subjects/jane_marple_(fictitious_character)'}, {'name': 'Large type books', 'url': 'https://openlibrary.org/subjects/large_type_books'}, {'name': 'Fiction, mystery & detective, general', 'url': 'https://openlibrary.org/subjects/fiction,_mystery_&_detective,_general'}, {'name': 'England, fiction', 'url': 'https://openlibrary.org/subjects/england,_fiction'}, {'name': 'Fiction, mystery & detective, traditional', 'url': 'https://openlibrary.org/subjects/fiction,_mystery_&_detective,_traditional'}, {'name': 'Marple, jane (fictitious character), fiction', 'url': 'https://openlibrary.org/subjects/marple,_jane_(fictitious_character),_fiction'}, {'name': 'Fiction, mystery & detective, women sleuths', 'url': 'https://openlibrary.org/subjects/fiction,_mystery_&_detective,_women_sleuths'}]","[{'name': 'England', 'url': 'https://openlibrary.org/subjects/place:england'}]","[{'preview_url': 'https://archive.org/details/missmarplecomple0000chri_h3r1', 'availability': 'borrow', 'formats': {}, 'borrow_url': 'https://openlibrary.org/books/OL7259453M/Miss_Marple/borrow', 'checkedout': False}]",['16306'],['42862'],['0006499627'],['OL7259453M'],['PR6005.H66'],https://covers.openlibrary.org/b/id/11165700-S.jpg,https://covers.openlibrary.org/b/id/11165700-M.jpg,https://covers.openlibrary.org/b/id/11165700-L.jpg,the Complete Short Stories,,,,,Jane Marple,"Unsolved Mysteries."" Raymond West blew out a cloud of smoke and repeated the words with a kind of deliberate self-conscious pleasure.",['9780006499626'],,,,,,,,,,
9780006551812,0006551815,'Tis,A Memoir,Frank McCourt,Ireland,http://books.google.com/books/content?id=Q3BhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"FROM THE PULIZER PRIZE-WINNING AUTHOR OF THE #1 ""NEW YORK TIMES"" BESTSELLER ""ANGELA'S ASHES"" Frank McCourt's glorious childhood memoir, ""Angela's Ashes, "" has been loved and celebrated by readers everywhere. It won the National Book Critics Circle Award, the ""Los Angeles Times"" Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape. And now we have ""'Tis, "" the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen and gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this ""classless country,"" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice that renders these experiences spellbinding. When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him. He knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee and tries to live his dream. But it is not until he starts to teach that Frank finds his place in the world.",2000.0,3.68,495.0,44179.0,High Rating,15300.78,https://openlibrary.org/books/OL7260048M/'Tis,/books/OL7260048M,512.0,,,Flamingo,,"October 2, 2000","[{'name': 'Irish Americans', 'url': 'https://openlibrary.org/subjects/irish_americans'}, {'name': 'New York (N.Y.)', 'url': 'https://openlibrary.org/subjects/new_york_(n.y.)'}, {'name': 'Biography', 'url': 'https://openlibrary.org/subjects/biography'}, {'name': 'McCourt, Frank', 'url': 'https://openlibrary.org/subjects/mccourt,_frank'}, {'name': 'Large type books', 'url': 'https://openlibrary.org/subjects/large_type_books'}, {'name': 'New york (n.y.), biography', 'url': 'https://openlibrary.org/subjects/new_york_(n.y.),_biography'}, {'name': 'Mccourt, frank, 1931-2009', 'url': 'https://openlibrary.org/subjects/mccourt,_frank,_1931-2009'}, {'name': 'Irish americans', 'url': 'https://openlibrary.org/subjects/irish_americans'}]","[{'name': 'New York (N.Y.)', 'url': 'https://openlibrary.org/subjects/place:new_york_(n.y.)'}]",,['4912'],['5656'],['0006551815'],['OL7260048M'],,https://covers.openlibrary.org/b/id/6900-S.jpg,https://covers.openlibrary.org/b/id/6900-M.jpg,https://covers.openlibrary.org/b/id/6900-L.jpg,,,,,,Frank McCourt,"When the MS Irish Oak sailed from Cork in October 1949, we expected to be in New York City in a week.",['9780006551812'],,,,,,,,,,
9780006754893,0006754899,A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.,2000.0,4.27,239.0,116.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780007105045,0007105045,Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The two works 'On fairy-stories' and 'Leaf by Niggle' were first brought together to form the book 'Tree and leaf' in 1964. In this new edition a third element is added: the poem Mythopoeia, the making of myths...""--Preface.",2001.0,4.09,176.0,2245.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780007116263,0007116268,"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A visual guide to the third in the Lord of the Rings movie trilogy. A large-format, full-colour guide to the characters, places, landscapes, artefacts, battles, and costumes as seen in the film, it features images, informative text and specially commissioned extras.",2003.0,4.59,72.0,22.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780007135653,0007135653,The Lord of the Rings,The Art of The Return of the King,Gary Russell,Characters and characteristics in motion pictures,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With complete access to artwork created over a five-year period, this guide illustrates the creative development of The Return of the King. It contains over 600 images, from the earliest pencil sketches and conceptual drawings to magnificent paintings, sculptures and digital imagery that shaped the look of the film. Contributing artists include John Howe and Alan Lee, artists who have inspired Peter Jackson's vision of Middle-earth and worked with him to bring the trilogy to the big screen. Peter Jackson himself provides the afterword in which he discusses the importance of the conceptual art to the film. It covers most aspects of the eagerly awaited finale to the enormously successful trilogy, from locations and costumes to weaponry and creatures. The artists who created all of these diverse elements explain how they contributed to the development of the film.",2004.0,4.54,224.0,28.0,High Rating,15300.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9780007137336,0007137338,Lirael,Daughter of the Clayr,Garth Nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a dangerous necromancer threatens to unleash a long-buried evil, Lirael and Prince Sameth are drawn into a battle to save the Old Kingdom and reveal their true destinies. Suggested level: secondary.",2004.0,4.3,527.0,1339.0,High Rating,15300.78,https://openlibrary.org/books/OL7262054M/Lirael,/books/OL7262054M,526.0,,,Collins,,"April 5, 2004","[{'name': 'Fiction', 'url': 'https://openlibrary.org/subjects/fiction'}, {'name': 'Juvenile Fiction', 'url': 'https://openlibrary.org/subjects/juvenile_fiction'}, {'name': 'Science Fiction & Fantasy', 'url': 'https://openlibrary.org/subjects/science_fiction_&_fantasy'}, {'name': 'Fantasy', 'url': 'https://openlibrary.org/subjects/fantasy'}, {'name': 'Magic', 'url': 'https://openlibrary.org/subjects/magic'}, {'name': 'Fantasy fiction', 'url': 'https://openlibrary.org/subjects/fantasy_fiction'}, {'name': 'Magical thinking', 'url': 'https://openlibrary.org/subjects/magical_thinking'}, {'name': 'Disreputable Dog (Fictitious character)', 'url': 'https://openlibrary.org/subjects/disreputable_dog_(fictitious_character)'}, {'name': 'Lirael (Fictitious character)', 'url': 'https://openlibrary.org/subjects/lirael_(fictitious_character)'}, {'name': 'Old Kingdom (Imaginary place)', 'url': 'https://openlibrary.org/subjects/old_kingdom_(imaginary_place)'}, {'name': 'Dogs', 'url': 'https://openlibrary.org/subjects/dogs'}, {'name': 'Good and evil', 'url': 'https://openlibrary.org/subjects/good_and_evil'}, {'name': 'Juvenile fiction', 'url': 'https://openlibrary.org/subjects/juvenile_fiction'}, {'name': ""Children's fiction"", 'url': ""https://openlibrary.org/subjects/children's_fiction""}, {'name': 'Magic, fiction', 'url': 'https://openlibrary.org/subjects/magic,_fiction'}, {'name': 'Magicians', 'url': 'https://openlibrary.org/subjects/magicians'}, {'name': 'Imaginary wars and battles', 'url': 'https://openlibrary.org/subjects/imaginary_wars_and_battles'}]",,,['47629'],['10009'],['0007137338'],['OL7262054M'],,https://covers.openlibrary.org/b/id/10075-S.jpg,https://covers.openlibrary.org/b/id/10075-M.jpg,https://covers.openlibrary.org/b/id/10075-L.jpg,"Daughter of the Clayr (Abhorsen Trilogy, Bk. 2)",,,,,,"DEEP WITHIN A dream, Lirael felt someone stroking her forehead.",['9780007137336'],,,,,,,,,,
